#Parameters = {lb=3; la=3; l2=1.9; ct=0.12; w=0.4; Yst=0.3; l1=2; st=0.4; L=30; phi=0; theta=0; alpha=0}
#"Frequency / GHz"	"RCS (Cartesian) (0 0 30)(Abs) [pw] (7) [Magnitude]"
#----------------------------------------------------------------------
1.7650000000000	-52.939805430834
1.7740000000000	-52.746895887122
1.7830000000000	-52.629848228107
1.7920000000000	-52.596969102901
1.8010000000000	-52.626096350902
1.8100000000000	-52.670833767997
1.8190000000000	-52.676058320246
1.8280000000000	-52.601870950831
1.8370000000000	-52.444346449359
1.8460000000000	-52.237103415022
1.8550000000000	-52.032388708434
1.8640000000000	-51.876906157668
1.8730000000000	-51.795620172001
1.8820000000000	-51.785623959771
1.8910000000000	-51.817611236224
1.9000000000000	-51.844787945625
1.9090000000000	-51.820403795357
1.9180000000000	-51.719491695884
1.9270000000000	-51.551868478411
1.9360000000000	-51.356088415846
1.9450000000000	-51.179464510824
1.9540000000000	-51.058219092348
1.9630000000000	-51.005983559070
1.9720000000000	-51.010719582723
1.9810000000000	-51.038577298404
1.9900000000000	-51.045199635188
1.9990000000000	-50.993881514381
2.0080000000000	-50.873357922229
2.0170000000000	-50.703393544965
2.0260000000000	-50.523795542137
2.0350000000000	-50.375399845525
2.0440000000000	-50.284399316756
2.0530000000000	-50.254583160751
2.0620000000000	-50.266835781643
2.0710000000000	-50.285270465807
2.0800000000000	-50.270310383616
2.0890000000000	-50.195991724120
2.0980000000000	-50.062768139914
2.1070000000000	-49.896817843487
2.1160000000000	-49.736466317743
2.1250000000000	-49.615273192896
2.1340000000000	-49.550107192887
2.1430000000000	-49.536424005528
2.1520000000000	-49.550061187976
2.1610000000000	-49.555411028249
2.1700000000000	-49.519409756840
2.1790000000000	-49.426665764992
2.1880000000000	-49.286981635979
2.1970000000000	-49.129899098258
2.2060000000000	-48.990353464825
2.2150000000000	-48.894361823832
2.2240000000000	-48.850345333201
2.2330000000000	-48.846962862817
2.2420000000000	-48.856991878780
2.2510000000000	-48.847131649709
2.2600000000000	-48.791901472169
2.2690000000000	-48.685616665085
2.2780000000000	-48.544949054085
2.2870000000000	-48.400300307672
2.2960000000000	-48.281961913365
2.3050000000000	-48.208509444168
2.3140000000000	-48.180912774387
2.3230000000000	-48.182593900626
2.3320000000000	-48.185163422646
2.3410000000000	-48.159280009375
2.3500000000000	-48.087472793073
2.3590000000000	-47.972420856698
2.3680000000000	-47.835302601094
2.3770000000000	-47.705433187912
2.3860000000000	-47.607725373029
2.3950000000000	-47.553679819352
2.4040000000000	-47.537906317259
2.4130000000000	-47.540157084219
2.4220000000000	-47.532610456652
2.4310000000000	-47.491092741496
2.4400000000000	-47.405983399230
2.4490000000000	-47.286691815089
2.4580000000000	-47.156778042816
2.4670000000000	-47.043023760909
2.4760000000000	-46.964622589852
2.4850000000000	-46.926561589692
2.4940000000000	-46.918256742374
2.5030000000000	-46.917334518806
2.5120000000000	-46.898055412992
2.5210000000000	-46.842160929563
2.5300000000000	-46.747257559905
2.5390000000000	-46.627753408819
2.5480000000000	-46.507784395390
2.5570000000000	-46.410587092364
2.5660000000000	-46.349594990326
2.5750000000000	-46.323986247285
2.5840000000000	-46.319196620128
2.5930000000000	-46.312197235535
2.6020000000000	-46.280559687452
2.6110000000000	-46.212231491850
2.6200000000000	-46.111079794006
2.6290000000000	-45.994815974499
2.6380000000000	-45.886686959928
2.6470000000000	-45.805738867271
2.6560000000000	-45.759837798510
2.6650000000000	-45.743171938927
2.6740000000000	-45.738433316350
2.6830000000000	-45.723285724281
2.6920000000000	-45.679515141799
2.7010000000000	-45.601153931006
2.7100000000000	-45.497148913169
